type,amount,oldbalanceOrg,newbalanceOrig,target
TRANSFER,1285.72,7337.62,4697.26,0
PAYMENT,1725.29,790.57,1657.91,1
TRANSFER,1912.15,3816.98,1854.02,0
PAYMENT,2557.26,8310.77,1012.14,0
OTHER,3062.3,263.16,233.33,0
TRANSFER,4275.93,4187.22,7719.21,0
OTHER,1560.68,943.45,4434.41,0
CASH_IN,3348.8,5825.31,477.57,0
CASH_OUT,3349.92,4116.29,7994.76,1
PAYMENT,1490.45,7599.25,2223.65,0
PAYMENT,3465.18,3868.78,4194.43,0
CASH_OUT,783.9,5401.73,984.69,0
CASH_IN,1653.77,3834.95,9940.15,0
OTHER,3069.45,8903.49,4835.65,0
CASH_IN,629.72,2081.72,5456.94,0
TRANSFER,1613.67,8499.64,8460.89,0
OTHER,3493.77,9855.04,5402.57,0
CASH_OUT,4829.1,9837.76,2124.73,1
OTHER,115.89,1615.21,6757.68,0
OTHER,44.34,7235.9,3922.47,0
CASH_OUT,3218.33,4625.94,199.48,0
PAYMENT,2873.77,2369.19,2835.9,0
OTHER,2707.32,6822.02,9030.92,0
OTHER,4211.91,2038.86,3324.69,0
PAYMENT,34.83,9756.88,9176.88,0
PAYMENT,899.78,8362.98,5256.45,0
CASH_OUT,3680.97,392.56,1778.57,0
PAYMENT,124.65,6769.17,6826.18,0
TRANSFER,509.1,2504.38,5923.12,0
CASH_IN,4979.38,7824.58,4712.29,0
PAYMENT,2194.37,9641.44,3767.35,0
TRANSFER,773.37,9678.37,5052.36,0
CASH_IN,3061.42,9272.7,9329.41,0
CASH_IN,2908.58,7188.09,3850.34,0
OTHER,4683.4,9564.74,4982.45,0
OTHER,530.93,7917.8,2240.59,0
TRANSFER,4096.94,2420.48,3118.99,0
PAYMENT,4028.58,1951.99,7431.09,0
CASH_IN,683.53,1685.56,6914.31,0
OTHER,4883.09,3315.8,3823.72,0
CASH_OUT,4803.49,8034.91,4389.61,0
CASH_IN,1073.44,840.79,4908.88,1
TRANSFER,3281.74,9992.72,5890.15,0
OTHER,4178.96,9168.06,7899.65,1
CASH_OUT,1238.95,5556.0,2991.07,0
OTHER,2051.19,6297.29,6536.99,0
OTHER,1915.91,2073.82,9393.64,0
CASH_OUT,1156.62,5123.04,4171.03,0
OTHER,2486.51,6191.77,7081.47,0
CASH_OUT,4868.67,9782.9,8765.9,0
OTHER,1826.6,7967.13,4365.32,0
CASH_OUT,1662.57,9434.69,9234.4,0
OTHER,456.19,1199.51,8056.27,0
CASH_IN,3087.5,9183.27,3787.85,0
OTHER,4510.7,6165.24,8835.56,0
CASH_OUT,3905.16,9151.79,8629.57,0
CASH_IN,1504.4,7275.15,1289.39,0
TRANSFER,4666.44,2067.57,5187.85,1
CASH_OUT,4073.88,4205.01,6208.16,0
CASH_OUT,3476.67,431.04,6905.81,0
PAYMENT,1751.75,16.91,2650.49,0
OTHER,2795.69,9411.05,3735.08,0
CASH_IN,4693.1,5589.58,5473.11,0
PAYMENT,4268.43,2587.94,3105.54,1
OTHER,1289.58,9327.19,4571.61,0
CASH_IN,2987.85,5137.2,1119.04,1
PAYMENT,394.96,1175.73,5660.05,0
CASH_OUT,4211.01,7586.29,7588.14,0
CASH_IN,2359.52,3921.09,9402.25,0
CASH_OUT,144.69,2156.1,3825.73,0
TRANSFER,128.05,8953.93,4218.68,0
PAYMENT,3789.41,2292.96,615.09,0
CASH_IN,197.87,1013.1,2707.58,0
PAYMENT,2326.57,8047.42,3927.35,0
CASH_IN,1324.85,8037.22,6839.89,0
CASH_IN,4690.95,9244.87,8500.07,1
OTHER,3989.59,9733.17,1126.49,0
CASH_IN,114.0,2686.82,5912.94,0
CASH_IN,1425.03,9565.51,4325.86,0
CASH_OUT,2530.54,6.38,4125.67,0
TRANSFER,3470.85,2047.72,5894.42,0
TRANSFER,3178.75,2918.42,69.13,0
PAYMENT,3330.88,8053.59,5060.51,0
CASH_OUT,2149.82,1740.37,2061.35,0
OTHER,161.8,6525.87,675.25,0
OTHER,4105.77,6684.02,1076.86,0
CASH_OUT,2649.84,1666.48,8914.94,0
CASH_OUT,3236.47,7548.42,6349.23,0
CASH_IN,2948.86,7200.14,2479.93,1
PAYMENT,43.95,1143.03,3117.7,0
CASH_OUT,4112.88,5043.43,3405.41,0
OTHER,2984.4,8750.45,1437.44,0
OTHER,2348.58,1504.54,1939.54,0
CASH_IN,4660.85,276.5,5356.34,0
CASH_OUT,4445.59,8732.96,1875.29,0
CASH_OUT,1407.91,2818.22,3591.93,0
TRANSFER,4555.3,3579.11,1418.33,0
CASH_OUT,4694.16,3288.52,5482.48,0
CASH_IN,2434.19,9981.15,659.39,0
CASH_IN,2449.75,7117.28,7128.24,0
CASH_OUT,4288.06,8090.08,9058.83,0
TRANSFER,674.17,676.89,8703.42,0
PAYMENT,1569.24,9872.04,8518.94,0
TRANSFER,4485.35,2350.98,3309.42,0
CASH_OUT,854.21,1380.91,8736.06,0
CASH_OUT,4367.7,1834.13,4714.49,0
OTHER,1304.38,961.13,3262.29,0
CASH_OUT,1613.21,4251.22,3901.22,0
CASH_IN,1878.24,9989.97,3376.51,1
PAYMENT,2830.57,7403.32,6851.93,0
CASH_OUT,3309.14,8272.81,7778.05,0
PAYMENT,4999.12,3503.21,56.31,0
CASH_OUT,4084.58,1010.35,3563.6,0
CASH_IN,4126.67,6064.19,3830.05,0
CASH_OUT,855.19,8234.94,2403.1,0
TRANSFER,2314.46,253.71,6019.77,0
TRANSFER,493.0,9512.38,8304.42,0
CASH_OUT,2175.32,8053.91,2739.14,0
OTHER,4891.68,5693.35,3653.76,0
CASH_IN,313.14,9100.95,133.9,1
OTHER,4679.24,1650.21,7165.08,0
OTHER,1484.56,7021.5,6144.0,0
CASH_OUT,2954.95,9550.64,3629.31,0
OTHER,4635.06,2763.22,4501.65,0
OTHER,917.08,2785.04,5877.94,0
OTHER,3322.87,6467.79,5181.38,0
OTHER,629.9,4485.8,4051.31,1
TRANSFER,2270.86,9765.95,8943.94,0
PAYMENT,4966.15,1332.29,1729.0,0
PAYMENT,2227.62,2614.33,9301.32,0
PAYMENT,47.45,3527.34,3733.6,0
CASH_IN,2364.29,7059.63,1700.74,1
PAYMENT,14.43,3794.25,8066.4,0
CASH_IN,2502.23,5807.89,4060.63,0
OTHER,1794.16,6328.03,9529.27,0
CASH_IN,1130.52,2493.72,3470.98,0
CASH_IN,4387.51,3734.41,9258.95,0
CASH_IN,140.92,1841.05,2889.62,0
TRANSFER,2348.27,3522.11,9747.18,1
CASH_IN,2614.59,5634.89,7319.62,0
CASH_OUT,43.29,9749.43,3170.75,0
OTHER,4602.58,9715.75,8230.19,0
TRANSFER,133.98,3379.7,1485.44,0
PAYMENT,4428.1,4502.4,1893.42,0
PAYMENT,4611.25,5339.42,6896.02,0
CASH_IN,748.2,9671.37,8708.36,0
CASH_IN,209.64,7925.51,103.62,0
PAYMENT,4990.64,9792.85,8917.1,0
PAYMENT,1180.82,4443.06,5579.83,0
CASH_OUT,2344.27,3186.11,7131.92,1
CASH_OUT,4047.72,4947.8,7438.81,0
PAYMENT,2882.44,5411.57,6457.85,0
PAYMENT,24.33,9447.78,1927.05,0
CASH_OUT,790.31,8276.0,5120.73,0
OTHER,1392.38,815.68,2258.4,0
CASH_IN,2668.2,8233.78,4628.37,0
CASH_IN,780.58,8421.33,2323.35,0
PAYMENT,2235.29,809.74,9280.64,0
CASH_OUT,2364.03,9965.52,1601.95,1
OTHER,1667.03,1095.41,7687.73,0
CASH_OUT,2763.3,6503.53,7282.82,0
TRANSFER,3341.02,9006.11,5822.96,0
CASH_OUT,218.87,5488.86,4482.11,0
CASH_OUT,2412.05,5198.35,257.66,0
PAYMENT,2736.94,2813.55,645.2,0
OTHER,1842.83,5283.7,3592.34,0
OTHER,3674.25,3463.4,5333.82,1
TRANSFER,4700.89,128.22,5500.04,0
OTHER,4267.14,9775.18,1758.63,0
PAYMENT,4814.53,5053.66,2900.44,0
OTHER,166.82,2729.6,8677.52,0
CASH_OUT,39.02,8258.91,4863.68,0
CASH_IN,196.08,237.74,1650.64,0
CASH_IN,1124.74,4299.14,8667.2,0
CASH_OUT,4682.33,3800.48,9412.39,0
CASH_OUT,3261.24,9040.07,1875.38,0
OTHER,2729.14,5250.58,1446.51,0
OTHER,3974.11,1336.42,1646.52,0
CASH_IN,1228.82,5199.07,7577.25,0
CASH_IN,3064.29,2029.92,5775.23,0
CASH_IN,4031.0,4648.38,6402.56,0
CASH_IN,831.81,1475.76,2259.56,0
PAYMENT,2218.84,5360.27,3998.83,0
TRANSFER,3414.41,1761.33,1838.33,0
CASH_OUT,17.14,3013.31,9638.66,0
TRANSFER,1903.86,57.49,6917.68,0
